الاسم,النوع,الحي,مصدر المعلومة,هاتف (غير مؤكد),له موقع؟ (تحقّق بنفسك),الأولوية,الحالة,المتابعة التالية,زاوية الفتح
Sushiima,مطعم ياباني,حيدرة,بحث ويب,,تحقّق,عالية,لم يُتواصل,,مطعم راقٍ بقائمة قصيرة — القائمة والحجز أهم ما ينقصه
Aux Deux Chameaux,مطعم جزائري تقليدي,بن عكنون,بحث ويب,,تحقّق,عالية,لم يُتواصل,,ديكور وأطباق من كل الجهات — يستحق معرض صور
Amazonia,مطبخ عالمي,بن عكنون (مركز تجاري),بحث ويب,,تحقّق,متوسطة,لم يُتواصل,,برانش نهاية الأسبوع — يحتاج صفحة عروض تتجدّد
Just Infinity,مطعم لاونج,سيدي يحيى - حيدرة,صفحة فيسبوك,0550 10 41 40,تحقّق,عالية,لم يُتواصل,,يعتمد على فيسبوك فقط — لا قائمة قابلة للقراءة
Le Béarnais,مطبخ فرنسي,الجزائر الوسطى,بحث ويب,,تحقّق,عالية,لم يُتواصل,,من أقدم موائد العاصمة — حجّة السمعة والتاريخ قوية معه
Teyr Ellil,مطعم بسطح مطلّ,الجزائر,بحث ويب,,تحقّق,متوسطة,لم يُتواصل,,المنظر هو منتجه — صور احترافية شهرية تبيع نفسها
Chic Chic Restaurant,مطعم,الجزائر,بحث ويب,,تحقّق,متوسطة,لم يُتواصل,,حاصل على شهادة Restaurant Guru — يمكن إبرازها في الموقع
La Petite École d'Hydra,مدرسة ابتدائية خاصة,حيدرة,بحث ويب,,تحقّق,عالية,لم يُتواصل,,موسم التسجيلات — استمارة تسجيل أوّلي
Lycée International Alexandre Dumas,ثانوية دولية,الجزائر,بحث ويب,,غالبًا لديه موقع,منخفضة,لم يُتواصل,,مؤسسة كبيرة — تحقّق قبل أن تضيّع وقتًا
روضة جديدة (املأ الاسم),روضة أطفال,حيدرة / بن عكنون,خرائط Google,,تحقّق,عالية,لم يُتواصل,,فُتحت هذا العام — لا أحد يعرفها بعد؛ الصور هي كل شيء
سوبرماركت (املأ الاسم),سوبرماركت كبير,دالي إبراهيم / شراقة,خرائط Google,,تحقّق,عالية,لم يُتواصل,,عروض الأسبوع تُعلَّق على الباب فقط — لا تصل إلى الحي
